stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
02_1_S32,STOP_02_1_S32,,20.965034,105.767626,,
02_1_S33,STOP_02_1_S33,,20.962284,105.764126,,
02_1_S34,STOP_02_1_S34,,20.960421,105.761730,,
02_1_S35,STOP_02_1_S35,,20.958336,105.759022,,
02_1_S36,STOP_02_1_S36,,20.954324,105.753744,,
02_1_S37,STOP_02_1_S37,,20.952318,105.751059,,
02_1_S38,STOP_02_1_S38,,20.950230,105.747462,,
02_2_S1,STOP_02_2_S1,,20.950230,105.747462,,
02_2_S2,STOP_02_2_S2,,20.951674,105.750390,,
02_2_S3,STOP_02_2_S3,,20.958303,105.759466,,
02_2_S4,STOP_02_2_S4,,20.960468,105.762293,,
02_2_S5,STOP_02_2_S5,,20.962836,105.765302,,
02_2_S6,STOP_02_2_S6,,20.964884,105.767876,,
02_2_S7,STOP_02_2_S7,,20.967434,105.771242,,
02_2_S8,STOP_02_2_S8,,20.970820,105.775519,,
02_2_S9,STOP_02_2_S9,,20.972667,105.777676,,
02_2_S10,STOP_02_2_S10,,20.976084,105.782442,,
02_2_S11,STOP_02_2_S11,,20.979867,105.787292,,
02_2_S12,STOP_02_2_S12,,20.981334,105.789042,,
02_2_S13,STOP_02_2_S13,,20.983316,105.791602,,
02_2_S14,STOP_02_2_S14,,20.986450,105.795858,,
02_2_S15,STOP_02_2_S15,,20.988767,105.799158,,
02_2_S16,STOP_02_2_S16,,20.990467,105.801542,,
02_2_S17,STOP_02_2_S17,,20.993600,105.806075,,
02_2_S18,STOP_02_2_S18,,20.995634,105.808925,,
02_2_S19,STOP_02_2_S19,,20.998800,105.813641,,
02_2_S20,STOP_02_2_S20,,21.000988,105.816973,,
02_2_S21,STOP_02_2_S21,,21.007867,105.823491,,
02_2_S22,STOP_02_2_S22,,21.010567,105.824891,,
02_2_S23,STOP_02_2_S23,,21.017120,105.828864,,
02_2_S24,STOP_02_2_S24,,21.020210,105.830570,,
02_2_S25,STOP_02_2_S25,,21.024203,105.832358,,
02_2_S26,STOP_02_2_S26,,21.028866,105.834707,,
02_2_S27,STOP_02_2_S27,,21.029783,105.838791,,
02_2_S28,STOP_02_2_S28,,21.028611,105.842824,,
02_2_S29,STOP_02_2_S29,,21.026250,105.846541,,
02_2_S30,STOP_02_2_S30,,21.025250,105.849974,,
02_2_S31,STOP_02_2_S31,,21.024066,105.853907,,
02_2_S32,STOP_02_2_S32,,21.023900,105.856657,,
02_2_S33,STOP_02_2_S33,,21.023433,105.860674,,
03A_1_S1,STOP_03A_1_S1,,20.980366,105.841629,,
03A_1_S2,STOP_03A_1_S2,,20.984922,105.841010,,
03A_1_S3,STOP_03A_1_S3,,20.989627,105.841102,,
03A_1_S4,STOP_03A_1_S4,,20.993634,105.841124,,
