route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
01_2,FULLW,01_2_MD_30,,,,
01_2,FULLW,01_2_MD_31,,,,
01_2,FULLW,01_2_MD_32,,,,
01_2,FULLW,01_2_MD_33,,,,
01_2,FULLW,01_2_MD_34,,,,
01_2,FULLW,01_2_MD_35,,,,
01_2,FULLW,01_2_MD_36,,,,
01_2,FULLW,01_2_MD_37,,,,
01_2,FULLW,01_2_MD_38,,,,
01_2,FULLW,01_2_MD_39,,,,
01_2,FULLW,01_2_MD_40,,,,
01_2,FULLW,01_2_MD_41,,,,
01_2,FULLW,01_2_MD_42,,,,
01_2,FULLW,01_2_MD_43,,,,
02_1,FULLW,02_1_MD_1,,,,
02_1,FULLW,02_1_MD_2,,,,
02_1,FULLW,02_1_MD_3,,,,
02_1,FULLW,02_1_MD_4,,,,
02_1,FULLW,02_1_MD_5,,,,
02_1,FULLW,02_1_MD_6,,,,
02_1,FULLW,02_1_MD_7,,,,
02_1,FULLW,02_1_MD_8,,,,
02_1,FULLW,02_1_MD_9,,,,
02_1,FULLW,02_1_MD_10,,,,
02_1,FULLW,02_1_MD_11,,,,
02_1,FULLW,02_1_MD_12,,,,
02_1,FULLW,02_1_MD_13,,,,
02_1,FULLW,02_1_MD_14,,,,
02_1,FULLW,02_1_MD_15,,,,
02_1,FULLW,02_1_MD_16,,,,
02_1,FULLW,02_1_MD_17,,,,
02_1,FULLW,02_1_MD_18,,,,
02_1,FULLW,02_1_MD_19,,,,
02_1,FULLW,02_1_MD_20,,,,
02_1,FULLW,02_1_MD_21,,,,
02_1,FULLW,02_1_MD_22,,,,
02_1,FULLW,02_1_MD_23,,,,
02_1,FULLW,02_1_MD_24,,,,
02_1,FULLW,02_1_MD_25,,,,
02_1,FULLW,02_1_MD_26,,,,
02_1,FULLW,02_1_MD_27,,,,
02_1,FULLW,02_1_MD_28,,,,
02_1,FULLW,02_1_MD_29,,,,
02_1,FULLW,02_1_MD_30,,,,
02_1,FULLW,02_1_MD_31,,,,
02_1,FULLW,02_1_MD_32,,,,
02_1,FULLW,02_1_MD_33,,,,
02_1,FULLW,02_1_MD_34,,,,
02_1,FULLW,02_1_MD_35,,,,
02_1,FULLW,02_1_MD_36,,,,
02_1,FULLW,02_1_MD_37,,,,
02_1,FULLW,02_1_MD_38,,,,
02_1,FULLW,02_1_MD_39,,,,
02_1,FULLW,02_1_MD_40,,,,
02_1,FULLW,02_1_MD_41,,,,
02_1,FULLW,02_1_MD_42,,,,
02_1,FULLW,02_1_MD_43,,,,
02_1,FULLW,02_1_MD_44,,,,
02_1,FULLW,02_1_MD_45,,,,
02_1,FULLW,02_1_MD_46,,,,
02_1,FULLW,02_1_MD_47,,,,
02_1,FULLW,02_1_MD_48,,,,
02_1,FULLW,02_1_MD_49,,,,
02_1,FULLW,02_1_MD_50,,,,
02_1,FULLW,02_1_MD_51,,,,
02_1,FULLW,02_1_MD_52,,,,
02_1,FULLW,02_1_MD_53,,,,
02_1,FULLW,02_1_MD_54,,,,
02_1,FULLW,02_1_MD_55,,,,
02_1,FULLW,02_1_MD_56,,,,
02_1,FULLW,02_1_MD_57,,,,
02_1,FULLW,02_1_MD_58,,,,
02_1,FULLW,02_1_MD_59,,,,
02_1,FULLW,02_1_MD_60,,,,
02_1,FULLW,02_1_MD_61,,,,
02_1,FULLW,02_1_MD_62,,,,
02_1,FULLW,02_1_MD_63,,,,
02_1,FULLW,02_1_MD_64,,,,
02_1,FULLW,02_1_MD_65,,,,
02_1,FULLW,02_1_MD_66,,,,
02_1,FULLW,02_1_MD_67,,,,
02_1,FULLW,02_1_MD_68,,,,
02_1,FULLW,02_1_MD_69,,,,
02_1,FULLW,02_1_MD_70,,,,
02_1,FULLW,02_1_MD_71,,,,
02_1,FULLW,02_1_MD_72,,,,
02_1,FULLW,02_1_MD_73,,,,
02_1,FULLW,02_1_MD_74,,,,
02_1,FULLW,02_1_MD_75,,,,
02_1,FULLW,02_1_MD_76,,,,
02_1,FULLW,02_1_MD_77,,,,
02_1,FULLW,02_1_MD_78,,,,
02_1,FULLW,02_1_MD_79,,,,
02_1,FULLW,02_1_MD_80,,,,
02_1,FULLW,02_1_MD_81,,,,
02_1,FULLW,02_1_MD_82,,,,
02_1,FULLW,02_1_MD_83,,,,
02_1,FULLW,02_1_MD_84,,,,
02_1,FULLW,02_1_MD_85,,,,
02_2,FULLW,02_2_MD_1,,,,
02_2,FULLW,02_2_MD_2,,,,
02_2,FULLW,02_2_MD_3,,,,
02_2,FULLW,02_2_MD_4,,,,
02_2,FULLW,02_2_MD_5,,,,
02_2,FULLW,02_2_MD_6,,,,
02_2,FULLW,02_2_MD_7,,,,
02_2,FULLW,02_2_MD_8,,,,
02_2,FULLW,02_2_MD_9,,,,
02_2,FULLW,02_2_MD_10,,,,
02_2,FULLW,02_2_MD_11,,,,
02_2,FULLW,02_2_MD_12,,,,
02_2,FULLW,02_2_MD_13,,,,
02_2,FULLW,02_2_MD_14,,,,
02_2,FULLW,02_2_MD_15,,,,
02_2,FULLW,02_2_MD_16,,,,
02_2,FULLW,02_2_MD_17,,,,
02_2,FULLW,02_2_MD_18,,,,
02_2,FULLW,02_2_MD_19,,,,
02_2,FULLW,02_2_MD_20,,,,
02_2,FULLW,02_2_MD_21,,,,
02_2,FULLW,02_2_MD_22,,,,
02_2,FULLW,02_2_MD_23,,,,
02_2,FULLW,02_2_MD_24,,,,
02_2,FULLW,02_2_MD_25,,,,
02_2,FULLW,02_2_MD_26,,,,
02_2,FULLW,02_2_MD_27,,,,
02_2,FULLW,02_2_MD_28,,,,
02_2,FULLW,02_2_MD_29,,,,
02_2,FULLW,02_2_MD_30,,,,
02_2,FULLW,02_2_MD_31,,,,
02_2,FULLW,02_2_MD_32,,,,
02_2,FULLW,02_2_MD_33,,,,
02_2,FULLW,02_2_MD_34,,,,
02_2,FULLW,02_2_MD_35,,,,
02_2,FULLW,02_2_MD_36,,,,
02_2,FULLW,02_2_MD_37,,,,
02_2,FULLW,02_2_MD_38,,,,
02_2,FULLW,02_2_MD_39,,,,
02_2,FULLW,02_2_MD_40,,,,
02_2,FULLW,02_2_MD_41,,,,
02_2,FULLW,02_2_MD_42,,,,
02_2,FULLW,02_2_MD_43,,,,
02_2,FULLW,02_2_MD_44,,,,
02_2,FULLW,02_2_MD_45,,,,
02_2,FULLW,02_2_MD_46,,,,
02_2,FULLW,02_2_MD_47,,,,
02_2,FULLW,02_2_MD_48,,,,
02_2,FULLW,02_2_MD_49,,,,
02_2,FULLW,02_2_MD_50,,,,
02_2,FULLW,02_2_MD_51,,,,
02_2,FULLW,02_2_MD_52,,,,
02_2,FULLW,02_2_MD_53,,,,
02_2,FULLW,02_2_MD_54,,,,
02_2,FULLW,02_2_MD_55,,,,
02_2,FULLW,02_2_MD_56,,,,
02_2,FULLW,02_2_MD_57,,,,
02_2,FULLW,02_2_MD_58,,,,
02_2,FULLW,02_2_MD_59,,,,
02_2,FULLW,02_2_MD_60,,,,
02_2,FULLW,02_2_MD_61,,,,
02_2,FULLW,02_2_MD_62,,,,
02_2,FULLW,02_2_MD_63,,,,
02_2,FULLW,02_2_MD_64,,,,
02_2,FULLW,02_2_MD_65,,,,
02_2,FULLW,02_2_MD_66,,,,
02_2,FULLW,02_2_MD_67,,,,
02_2,FULLW,02_2_MD_68,,,,
02_2,FULLW,02_2_MD_69,,,,
02_2,FULLW,02_2_MD_70,,,,
02_2,FULLW,02_2_MD_71,,,,
02_2,FULLW,02_2_MD_72,,,,
02_2,FULLW,02_2_MD_73,,,,
02_2,FULLW,02_2_MD_74,,,,
02_2,FULLW,02_2_MD_75,,,,
02_2,FULLW,02_2_MD_76,,,,
02_2,FULLW,02_2_MD_77,,,,
02_2,FULLW,02_2_MD_78,,,,
02_2,FULLW,02_2_MD_79,,,,
02_2,FULLW,02_2_MD_80,,,,
02_2,FULLW,02_2_MD_81,,,,
02_2,FULLW,02_2_MD_82,,,,
02_2,FULLW,02_2_MD_83,,,,
02_2,FULLW,02_2_MD_84,,,,
02_2,FULLW,02_2_MD_85,,,,
03A_1,FULLW,03A_1_MD_1,,,,
03A_1,FULLW,03A_1_MD_2,,,,
03A_1,FULLW,03A_1_MD_3,,,,
03A_1,FULLW,03A_1_MD_4,,,,
03A_1,FULLW,03A_1_MD_5,,,,
03A_1,FULLW,03A_1_MD_6,,,,
03A_1,FULLW,03A_1_MD_7,,,,
03A_1,FULLW,03A_1_MD_8,,,,
03A_1,FULLW,03A_1_MD_9,,,,
03A_1,FULLW,03A_1_MD_10,,,,
03A_1,FULLW,03A_1_MD_11,,,,
03A_1,FULLW,03A_1_MD_12,,,,
03A_1,FULLW,03A_1_MD_13,,,,
03A_1,FULLW,03A_1_MD_14,,,,
03A_1,FULLW,03A_1_MD_15,,,,
03A_1,FULLW,03A_1_MD_16,,,,
03A_1,FULLW,03A_1_MD_17,,,,
03A_1,FULLW,03A_1_MD_18,,,,
03A_1,FULLW,03A_1_MD_19,,,,
03A_1,FULLW,03A_1_MD_20,,,,
03A_1,FULLW,03A_1_MD_21,,,,
03A_1,FULLW,03A_1_MD_22,,,,
03A_1,FULLW,03A_1_MD_23,,,,
03A_1,FULLW,03A_1_MD_24,,,,
03A_1,FULLW,03A_1_MD_25,,,,
03A_1,FULLW,03A_1_MD_26,,,,
03A_1,FULLW,03A_1_MD_27,,,,
03A_1,FULLW,03A_1_MD_28,,,,
03A_1,FULLW,03A_1_MD_29,,,,
03A_1,FULLW,03A_1_MD_30,,,,
03A_1,FULLW,03A_1_MD_31,,,,
03A_1,FULLW,03A_1_MD_32,,,,
03A_1,FULLW,03A_1_MD_33,,,,
03A_1,FULLW,03A_1_MD_34,,,,
03A_1,FULLW,03A_1_MD_35,,,,
03A_1,FULLW,03A_1_MD_36,,,,
03A_1,FULLW,03A_1_MD_37,,,,
03A_1,FULLW,03A_1_MD_38,,,,
03A_1,FULLW,03A_1_MD_39,,,,
03A_1,FULLW,03A_1_MD_40,,,,
03A_1,FULLW,03A_1_MD_41,,,,
03A_1,FULLW,03A_1_MD_42,,,,
03A_1,FULLW,03A_1_MD_43,,,,
03A_2,FULLW,03A_2_MD_1,,,,
03A_2,FULLW,03A_2_MD_2,,,,
03A_2,FULLW,03A_2_MD_3,,,,
03A_2,FULLW,03A_2_MD_4,,,,
03A_2,FULLW,03A_2_MD_5,,,,
03A_2,FULLW,03A_2_MD_6,,,,
03A_2,FULLW,03A_2_MD_7,,,,
03A_2,FULLW,03A_2_MD_8,,,,
03A_2,FULLW,03A_2_MD_9,,,,
03A_2,FULLW,03A_2_MD_10,,,,
03A_2,FULLW,03A_2_MD_11,,,,
03A_2,FULLW,03A_2_MD_12,,,,
03A_2,FULLW,03A_2_MD_13,,,,
03A_2,FULLW,03A_2_MD_14,,,,
03A_2,FULLW,03A_2_MD_15,,,,
03A_2,FULLW,03A_2_MD_16,,,,
03A_2,FULLW,03A_2_MD_17,,,,
03A_2,FULLW,03A_2_MD_18,,,,
03A_2,FULLW,03A_2_MD_19,,,,
03A_2,FULLW,03A_2_MD_20,,,,
03A_2,FULLW,03A_2_MD_21,,,,
03A_2,FULLW,03A_2_MD_22,,,,
03A_2,FULLW,03A_2_MD_23,,,,
03A_2,FULLW,03A_2_MD_24,,,,
03A_2,FULLW,03A_2_MD_25,,,,
03A_2,FULLW,03A_2_MD_26,,,,
03A_2,FULLW,03A_2_MD_27,,,,
03A_2,FULLW,03A_2_MD_28,,,,
03A_2,FULLW,03A_2_MD_29,,,,
03A_2,FULLW,03A_2_MD_30,,,,
03A_2,FULLW,03A_2_MD_31,,,,
03A_2,FULLW,03A_2_MD_32,,,,
03A_2,FULLW,03A_2_MD_33,,,,
03A_2,FULLW,03A_2_MD_34,,,,
03A_2,FULLW,03A_2_MD_35,,,,
03A_2,FULLW,03A_2_MD_36,,,,
03A_2,FULLW,03A_2_MD_37,,,,
03A_2,FULLW,03A_2_MD_38,,,,
03A_2,FULLW,03A_2_MD_39,,,,
03A_2,FULLW,03A_2_MD_40,,,,
03A_2,FULLW,03A_2_MD_41,,,,
03A_2,FULLW,03A_2_MD_42,,,,
03A_2,FULLW,03A_2_MD_43,,,,
03B_1,FULLW,03B_1_MD_1,,,,
03B_1,FULLW,03B_1_MD_2,,,,
03B_1,FULLW,03B_1_MD_3,,,,
03B_1,FULLW,03B_1_MD_4,,,,
03B_1,FULLW,03B_1_MD_5,,,,
03B_1,FULLW,03B_1_MD_6,,,,
03B_1,FULLW,03B_1_MD_7,,,,
03B_1,FULLW,03B_1_MD_8,,,,
03B_1,FULLW,03B_1_MD_9,,,,
03B_1,FULLW,03B_1_MD_10,,,,
03B_1,FULLW,03B_1_MD_11,,,,
03B_1,FULLW,03B_1_MD_12,,,,
03B_1,FULLW,03B_1_MD_13,,,,
03B_1,FULLW,03B_1_MD_14,,,,
03B_1,FULLW,03B_1_MD_15,,,,
03B_2,FULLW,03B_2_MD_1,,,,
03B_2,FULLW,03B_2_MD_2,,,,
03B_2,FULLW,03B_2_MD_3,,,,
03B_2,FULLW,03B_2_MD_4,,,,
03B_2,FULLW,03B_2_MD_5,,,,
03B_2,FULLW,03B_2_MD_6,,,,
03B_2,FULLW,03B_2_MD_7,,,,
03B_2,FULLW,03B_2_MD_8,,,,
03B_2,FULLW,03B_2_MD_9,,,,
03B_2,FULLW,03B_2_MD_10,,,,
03B_2,FULLW,03B_2_MD_11,,,,
03B_2,FULLW,03B_2_MD_12,,,,
03B_2,FULLW,03B_2_MD_13,,,,
03B_2,FULLW,03B_2_MD_14,,,,
03B_2,FULLW,03B_2_MD_15,,,,
04_1,FULLW,04_1_MD_1,,,,
04_1,FULLW,04_1_MD_2,,,,
04_1,FULLW,04_1_MD_3,,,,
04_1,FULLW,04_1_MD_4,,,,
04_1,FULLW,04_1_MD_5,,,,
04_1,FULLW,04_1_MD_6,,,,
04_1,FULLW,04_1_MD_7,,,,
04_1,FULLW,04_1_MD_8,,,,
04_1,FULLW,04_1_MD_9,,,,
04_1,FULLW,04_1_MD_10,,,,
04_1,FULLW,04_1_MD_11,,,,
04_1,FULLW,04_1_MD_12,,,,
04_1,FULLW,04_1_MD_13,,,,
04_1,FULLW,04_1_MD_14,,,,
04_1,FULLW,04_1_MD_15,,,,
04_1,FULLW,04_1_MD_16,,,,
04_1,FULLW,04_1_MD_17,,,,
04_1,FULLW,04_1_MD_18,,,,
04_1,FULLW,04_1_MD_19,,,,
04_1,FULLW,04_1_MD_20,,,,
04_1,FULLW,04_1_MD_21,,,,
04_1,FULLW,04_1_MD_22,,,,
04_1,FULLW,04_1_MD_23,,,,
04_1,FULLW,04_1_MD_24,,,,
04_1,FULLW,04_1_MD_25,,,,
04_1,FULLW,04_1_MD_26,,,,
04_1,FULLW,04_1_MD_27,,,,
04_1,FULLW,04_1_MD_28,,,,
04_1,FULLW,04_1_MD_29,,,,
04_1,FULLW,04_1_MD_30,,,,
04_1,FULLW,04_1_MD_31,,,,
04_1,FULLW,04_1_MD_32,,,,
04_1,FULLW,04_1_MD_33,,,,
04_1,FULLW,04_1_MD_34,,,,
04_1,FULLW,04_1_MD_35,,,,
04_1,FULLW,04_1_MD_36,,,,
04_2,FULLW,04_2_MD_1,,,,
04_2,FULLW,04_2_MD_2,,,,
04_2,FULLW,04_2_MD_3,,,,
04_2,FULLW,04_2_MD_4,,,,
04_2,FULLW,04_2_MD_5,,,,
04_2,FULLW,04_2_MD_6,,,,
04_2,FULLW,04_2_MD_7,,,,
04_2,FULLW,04_2_MD_8,,,,
04_2,FULLW,04_2_MD_9,,,,
04_2,FULLW,04_2_MD_10,,,,
04_2,FULLW,04_2_MD_11,,,,
04_2,FULLW,04_2_MD_12,,,,
04_2,FULLW,04_2_MD_13,,,,
04_2,FULLW,04_2_MD_14,,,,
04_2,FULLW,04_2_MD_15,,,,
04_2,FULLW,04_2_MD_16,,,,
04_2,FULLW,04_2_MD_17,,,,
04_2,FULLW,04_2_MD_18,,,,
04_2,FULLW,04_2_MD_19,,,,
04_2,FULLW,04_2_MD_20,,,,
04_2,FULLW,04_2_MD_21,,,,
04_2,FULLW,04_2_MD_22,,,,
04_2,FULLW,04_2_MD_23,,,,
04_2,FULLW,04_2_MD_24,,,,
04_2,FULLW,04_2_MD_25,,,,
04_2,FULLW,04_2_MD_26,,,,
04_2,FULLW,04_2_MD_27,,,,
04_2,FULLW,04_2_MD_28,,,,
04_2,FULLW,04_2_MD_29,,,,
04_2,FULLW,04_2_MD_30,,,,
04_2,FULLW,04_2_MD_31,,,,
04_2,FULLW,04_2_MD_32,,,,
04_2,FULLW,04_2_MD_33,,,,
04_2,FULLW,04_2_MD_34,,,,
04_2,FULLW,04_2_MD_35,,,,
04_2,FULLW,04_2_MD_36,,,,
05_1,FULLW,05_1_MD_1,,,,
05_1,FULLW,05_1_MD_2,,,,
05_1,FULLW,05_1_MD_3,,,,
05_1,FULLW,05_1_MD_4,,,,
05_1,FULLW,05_1_MD_5,,,,
05_1,FULLW,05_1_MD_6,,,,
05_1,FULLW,05_1_MD_7,,,,
05_1,FULLW,05_1_MD_8,,,,
05_1,FULLW,05_1_MD_9,,,,
05_1,FULLW,05_1_MD_10,,,,
05_1,FULLW,05_1_MD_11,,,,
05_1,FULLW,05_1_MD_12,,,,
05_1,FULLW,05_1_MD_13,,,,
05_1,FULLW,05_1_MD_14,,,,
05_1,FULLW,05_1_MD_15,,,,
05_1,FULLW,05_1_MD_16,,,,
05_1,FULLW,05_1_MD_17,,,,
05_1,FULLW,05_1_MD_18,,,,
05_1,FULLW,05_1_MD_19,,,,
05_1,FULLW,05_1_MD_20,,,,
05_1,FULLW,05_1_MD_21,,,,
05_1,FULLW,05_1_MD_22,,,,
05_1,FULLW,05_1_MD_23,,,,
05_1,FULLW,05_1_MD_24,,,,
05_1,FULLW,05_1_MD_25,,,,
05_1,FULLW,05_1_MD_26,,,,
05_1,FULLW,05_1_MD_27,,,,
05_1,FULLW,05_1_MD_28,,,,
05_1,FULLW,05_1_MD_29,,,,
05_2,FULLW,05_2_MD_1,,,,
05_2,FULLW,05_2_MD_2,,,,
05_2,FULLW,05_2_MD_3,,,,
05_2,FULLW,05_2_MD_4,,,,
05_2,FULLW,05_2_MD_5,,,,
05_2,FULLW,05_2_MD_6,,,,
05_2,FULLW,05_2_MD_7,,,,
05_2,FULLW,05_2_MD_8,,,,
05_2,FULLW,05_2_MD_9,,,,
05_2,FULLW,05_2_MD_10,,,,
05_2,FULLW,05_2_MD_11,,,,
05_2,FULLW,05_2_MD_12,,,,
05_2,FULLW,05_2_MD_13,,,,
05_2,FULLW,05_2_MD_14,,,,
05_2,FULLW,05_2_MD_15,,,,
05_2,FULLW,05_2_MD_16,,,,
05_2,FULLW,05_2_MD_17,,,,
05_2,FULLW,05_2_MD_18,,,,
05_2,FULLW,05_2_MD_19,,,,
05_2,FULLW,05_2_MD_20,,,,
05_2,FULLW,05_2_MD_21,,,,
05_2,FULLW,05_2_MD_22,,,,
05_2,FULLW,05_2_MD_23,,,,
